ANO,MES,DIA,TOTAL
2021,12,4,12996279
2021,12,11,13026340
2021,12,18,13048876
2021,12,25,13061645
2021,12,31,13070443
ANO,MES,DIA,TOTAL
2022,12,3,14542617
2022,12,10,14558235
2022,12,17,14570760
2022,12,24,14577392
2022,12,31,14581943
ANO,MES,DIA,TOTAL
2023,12,2,15445236
2023,12,9,15458556
2023,12,16,15468560
2023,12,23,15471472
2023,12,30,15469999
2023,12,31,15469292
ANO,MES,DIA,TOTAL
2024,12,7,16059771
2024,12,14,16074120
2024,12,21,16081376
2024,12,28,16084955
2024,12,31,16084709
ANO,MES,DIA,TOTAL
2025,12,6,16498288
2025,12,13,16370069
2025,12,20,16382053
2025,12,27,16386819
2025,12,31,16389041
